Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
132.3450000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032409	0.0035963	-0.0000088	-0.0010223	-0.0033311	-0.0041409	-0.0008922	0.0004347
133.9300000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033250	0.0036993	0.0000084	-0.0010362	-0.0034165	-0.0042425	-0.0009049	0.0004503
135.2150000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033938	0.0037820	0.0000215	-0.0010506	-0.0034868	-0.0043287	-0.0009177	0.0004651
136.6350000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034714	0.0038778	0.0000409	-0.0010655	-0.0035701	-0.0044265	-0.0009342	0.0004807
138.2200000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035600	0.0039821	0.0000569	-0.0010836	-0.0036628	-0.0045306	-0.0009451	0.0005010
139.6050000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036398	0.0040781	0.0000708	-0.0010986	-0.0037460	-0.0046291	-0.0009623	0.0005163
140.8900000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037127	0.0041683	0.0000859	-0.0011145	-0.0038260	-0.0047249	-0.0009793	0.0005342
142.4600000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0038079	0.0042803	0.0001051	-0.0011284	-0.0039182	-0.0048351	-0.0009949	0.0005515
143.7450000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0038823	0.0043707	0.0001190	-0.0011459	-0.0039987	-0.0049262	-0.0010069	0.0005667
145.0150000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039623	0.0044668	0.0001370	-0.0011586	-0.0040773	-0.0050245	-0.0010198	0.0005861
146.6400000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040633	0.0045886	0.0001561	-0.0011765	-0.0041788	-0.0051435	-0.0010384	0.0006087
148.0650000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0041462	0.0046931	0.0001735	-0.0011923	-0.0042758	-0.0052535	-0.0010543	0.0006292
149.4250000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042387	0.0048016	0.0001885	-0.0012097	-0.0043676	-0.0053619	-0.0010698	0.0006507
151.0100000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0043464	0.0049309	0.0002145	-0.0012284	-0.0044711	-0.0054899	-0.0010918	0.0006715
152.3350000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0044311	0.0050328	0.0002342	-0.0012445	-0.0045617	-0.0055934	-0.0010998	0.0006919
153.7650000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045286	0.0051509	0.0002529	-0.0012663	-0.0046647	-0.0057103	-0.0011174	0.0007090
155.3200000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0046359	0.0052855	0.0002747	-0.0012862	-0.0047712	-0.0058387	-0.0011382	0.0007311
156.5750000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047243	0.0053885	0.0002935	-0.0013020	-0.0048627	-0.0059466	-0.0011580	0.0007446
157.8900000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0048091	0.0054959	0.0003151	-0.0013210	-0.0049509	-0.0060453	-0.0011627	0.0007641
159.6250000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0049224	0.0056373	0.0003414	-0.0013502	-0.0050759	-0.0061877	-0.0011827	0.0007800
161.0250000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050136	0.0057550	0.0003692	-0.0013695	-0.0051774	-0.0063009	-0.0011940	0.0007961
162.3350000	56.8199997	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050942	0.0058545	0.0003918	-0.0013965	-0.0052690	-0.0064051	-0.0012015	0.0008088
