Fri, Apr 04, 2025
3:43:48 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
130.9500000	-37.1500015	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0315582	0.0370071	0.0062093	-0.0048899	-0.0318271	-0.0377326	-0.0070817	0.0042680
132.2050000	2566.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0403285	0.0458616	-0.0497479	-0.0644648	-0.0406065	-0.0466270	0.0489186	0.0639025
133.7850000	-2594.7001953	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0407975	0.0499033	0.0648337	0.0497702	-0.0410864	-0.0507039	-0.0658058	-0.0504271
135.1000000	-37.0200005	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0338315	0.0397163	0.0066417	-0.0053229	-0.0341279	-0.0404723	-0.0075266	0.0046982
136.3700000	2566.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0427774	0.0487709	-0.0497838	-0.0654544	-0.0430702	-0.0495464	0.0489591	0.0648961
137.9500000	-2594.3000488	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0432779	0.0528931	0.0658397	0.0498108	-0.0435820	-0.0536990	-0.0668113	-0.0504628
139.2400000	-36.9599991	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0362086	0.0425539	0.0071080	-0.0057711	-0.0365120	-0.0433098	-0.0079902	0.0051518
140.5050000	2565.6999512	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0453053	0.0517677	-0.0498413	-0.0664930	-0.0456100	-0.0525560	0.0490178	0.0659429
142.0650000	-2593.6999512	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0458349	0.0559734	0.0668966	0.0498678	-0.0461493	-0.0567874	-0.0678649	-0.0505110
143.3450000	-36.8899994	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0386936	0.0455200	0.0075950	-0.0062443	-0.0390110	-0.0462943	-0.0084777	0.0056336
144.6300000	2565.3999023	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0479233	0.0548805	-0.0499077	-0.0675805	-0.0482353	-0.0556794	0.0490900	0.0670460
146.1700000	-2593.6999512	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0484884	0.0591739	0.0680101	0.0499305	-0.0488266	-0.0600081	-0.0689822	-0.0505776
147.4600000	-36.7999992	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0412863	0.0486232	0.0081096	-0.0067414	-0.0416289	-0.0494219	-0.0089880	0.0061428
148.7500000	2565.3000488	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0506526	0.0581309	-0.0499889	-0.0687373	-0.0509938	-0.0589519	0.0491811	0.0682230
150.4850000	-2593.5000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0513438	0.0626365	0.0692326	0.0500282	-0.0517174	-0.0634873	-0.0701947	-0.0506616
151.8050000	-36.7299995	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0441718	0.0520610	0.0086705	-0.0072862	-0.0445055	-0.0528547	-0.0095432	0.0066972
153.0850000	2565.3000488	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0536273	0.0616617	-0.0501005	-0.0699982	-0.0539737	-0.0624811	0.0492935	0.0694883
154.7750000	-2592.7998047	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0543640	0.0662511	0.0705030	0.0501247	-0.0547199	-0.0670887	-0.0714612	-0.0507724
156.0800000	-36.7099991	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0470912	0.0555510	0.0092409	-0.0078503	-0.0474477	-0.0563556	-0.0101095	0.0072552
