Wed, Apr 02, 2025
3:59:46 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0500000	-1319.2000732	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0189330	0.0234041	0.0311939	0.0242911	-0.0201591	-0.0247185	-0.0317477	-0.0239150
97.3450000	-40.1899986	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0158523	0.0188640	0.0037846	-0.0017892	-0.0170008	-0.0200770	-0.0042776	0.0020974
98.7100000	1300.9000244	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0200896	0.0231165	-0.0238479	-0.0311197	-0.0212803	-0.0243922	0.0234032	0.0315372
100.2600000	-1319.5000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0204393	0.0252115	0.0318052	0.0243324	-0.0216512	-0.0265070	-0.0323505	-0.0239682
101.5150000	-40.2400017	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0173087	0.0205594	0.0040412	-0.0020239	-0.0184508	-0.0217875	-0.0045378	0.0023349
102.9150000	1300.9000244	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0216631	0.0249693	-0.0239130	-0.0317554	-0.0228365	-0.0262243	0.0234788	0.0321726
104.4500000	-1319.5999756	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0220518	0.0271166	0.0324471	0.0243957	-0.0232493	-0.0284062	-0.0330058	-0.0240543
105.6950000	-40.1800003	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0188807	0.0224096	0.0043254	-0.0022944	-0.0200301	-0.0236492	-0.0048296	0.0026022
106.9750000	1300.9000244	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0232738	0.0268480	-0.0240049	-0.0324207	-0.0244475	-0.0281111	0.0235694	0.0328331
108.6150000	-1319.5999756	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0237388	0.0291160	0.0331388	0.0244897	-0.0249310	-0.0304044	-0.0337071	-0.0241548
