Mon, Apr 07, 2025
2:23:28 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
95.9850000	-3255.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0026182	0.0028616	0.0067303	0.0061799	-0.0024094	-0.0035223	-0.0080483	-0.0066849
97.2800000	-32.5200005	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0019201	0.0018796	-0.0001797	-0.0005118	-0.0017773	-0.0024751	-0.0009989	-0.0000292
98.5150000	3241.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027706	0.0026896	-0.0069733	-0.0076561	-0.0025723	-0.0032624	0.0057684	0.0070795
100.1550000	-3258.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027753	0.0030688	0.0068216	0.0061819	-0.0025883	-0.0037298	-0.0081124	-0.0066876
101.4300000	-33.1199989	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020543	0.0020521	-0.0001405	-0.0005336	-0.0019292	-0.0026487	-0.0010196	0.0000012
102.7500000	3240.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029343	0.0028996	-0.0069548	-0.0077116	-0.0027617	-0.0034713	0.0057706	0.0071484
104.3400000	-3257.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029463	0.0032931	0.0069014	0.0061802	-0.0027758	-0.0039425	-0.0081545	-0.0066703
105.6900000	-33.5600014	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0022064	0.0022411	-0.0000989	-0.0005533	-0.0020887	-0.0028293	-0.0010364	0.0000353
107.0750000	3238.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031168	0.0031278	-0.0069349	-0.0077665	-0.0029628	-0.0036939	0.0057817	0.0072256
108.6350000	-3256.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031330	0.0035276	0.0069716	0.0061833	-0.0029799	-0.0041644	-0.0082031	-0.0066629
109.9450000	-33.4900017	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0023693	0.0024448	-0.0000618	-0.0005785	-0.0022672	-0.0030345	-0.0010682	0.0000685
111.2050000	3239.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033042	0.0033519	-0.0069273	-0.0078296	-0.0031690	-0.0039299	0.0057765	0.0072884
112.7700000	-3256.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033199	0.0037598	0.0070469	0.0061743	-0.0031868	-0.0044075	-0.0082720	-0.0066573
114.0100000	-33.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025304	0.0026354	-0.0000323	-0.0006076	-0.0024458	-0.0032341	-0.0010962	0.0000995
115.3100000	3238.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034936	0.0035846	-0.0069157	-0.0078905	-0.0033788	-0.0041703	0.0057778	0.0073594
116.9700000	-3255.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035174	0.0040039	0.0071186	0.0061686	-0.0034059	-0.0046500	-0.0083218	-0.0066495
118.2300000	-33.7099991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027155	0.0028602	0.0000101	-0.0006426	-0.0026408	-0.0034612	-0.0011322	0.0001314
119.5200000	3237.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036984	0.0038352	-0.0069051	-0.0079622	-0.0036034	-0.0044253	0.0057723	0.0074364
121.2150000	-3255.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037343	0.0042704	0.0072047	0.0061629	-0.0036329	-0.0049102	-0.0083888	-0.0066395
122.6500000	-33.2599983	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029083	0.0030968	0.0000539	-0.0006737	-0.0028510	-0.0036983	-0.0011556	0.0001709
124.0650000	3237.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039287	0.0041184	-0.0068857	-0.0080394	-0.0038473	-0.0047063	0.0057779	0.0075232
125.7200000	-3253.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039687	0.0045606	0.0072944	0.0061586	-0.0038810	-0.0052013	-0.0084640	-0.0066346
126.9850000	-33.4700012	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031239	0.0033517	0.0000959	-0.0007113	-0.0030688	-0.0039521	-0.0011952	0.0002153
128.2650000	3236.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0041662	0.0043967	-0.0068780	-0.0081262	-0.0040881	-0.0049887	0.0057744	0.0076061
129.8200000	-3253.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0041929	0.0048401	0.0073835	0.0061515	-0.0041185	-0.0054780	-0.0085389	-0.0066259
131.0800000	-33.6100006	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033286	0.0036050	0.0001446	-0.0007451	-0.0032833	-0.0042060	-0.0012291	0.0002536
132.3700000	3235.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0043971	0.0046776	-0.0068669	-0.0082011	-0.0043316	-0.0052660	0.0057735	0.0076949
133.9300000	-3252.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0044271	0.0051248	0.0074764	0.0061456	-0.0043658	-0.0057634	-0.0086239	-0.0066204
135.2350000	-33.5200005	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035502	0.0038673	0.0001873	-0.0007878	-0.0035120	-0.0044734	-0.0012684	0.0002942
136.5050000	3234.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0046410	0.0049676	-0.0068597	-0.0082888	-0.0045803	-0.0055588	0.0057770	0.0077851
138.2200000	-3251.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0046851	0.0054406	0.0075797	0.0061502	-0.0046302	-0.0060748	-0.0087058	-0.0066157
139.6650000	-33.5099983	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037946	0.0041663	0.0002397	-0.0008352	-0.0037699	-0.0047725	-0.0013127	0.0003412
141.0550000	3234.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0049157	0.0053033	-0.0068455	-0.0083924	-0.0048697	-0.0058958	0.0057817	0.0079001
142.6400000	-3251.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0049525	0.0057769	0.0076957	0.0061462	-0.0049163	-0.0064080	-0.0088035	-0.0066096
143.9600000	-33.1699982	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040510	0.0044744	0.0002928	-0.0008784	-0.0040320	-0.0050814	-0.0013577	0.0003964
